PermutationIndex,Permutation,MatterQubits
139733939,"[5,8,7,13,4,12,2,6,10,11,3,9,1]",4
139763144,"[5,7,1,12,6,11,4,8,13,10,2,9,3]",4
140035669,"[2,8,7,12,3,13,4,5,10,11,6,9,1]",4
141646330,"[4,8,6,11,3,13,1,7,12,10,5,9,2]",4
141937236,"[5,6,3,10,7,11,1,8,12,13,4,9,2]",4
141989763,"[5,1,6,12,7,10,3,8,11,13,4,9,2]",4
142026142,"[2,6,5,10,7,11,3,8,13,12,1,9,4]",4
142100952,"[3,8,6,12,4,10,5,7,11,13,2,9,1]",4
143032971,"[5,8,7,10,1,11,4,6,12,13,3,9,2]",4
143199084,"[5,8,1,13,6,10,3,7,12,11,2,9,4]",4
143240009,"[3,6,4,10,7,11,1,8,13,12,5,9,2]",4
143742777,"[1,7,3,10,6,11,2,8,12,13,5,9,4]",4
143782547,"[2,8,3,12,6,11,5,7,13,10,1,9,4]",4
143951583,"[2,8,7,11,1,13,3,6,12,10,5,9,4]",4
144199993,"[1,8,4,11,6,13,3,7,12,10,5,9,2]",4
144369435,"[5,7,6,10,1,13,2,8,11,12,4,9,3]",4
144370650,"[4,8,1,10,6,11,2,7,13,12,3,9,5]",4
144591046,"[4,8,7,11,6,13,2,3,10,12,5,9,1]",4
144665043,"[3,5,6,12,7,11,1,8,13,10,4,9,2]",4
144908677,"[5,7,4,12,6,11,3,8,13,10,1,9,2]",4
145431552,"[1,8,7,13,3,12,5,2,11,10,6,9,4]",4
145590539,"[3,8,7,13,1,10,4,2,11,12,6,9,5]",4
145940166,"[3,8,7,13,2,10,5,1,11,12,6,9,4]",4
146340311,"[5,7,6,10,2,11,3,8,12,13,4,9,1]",4
146553744,"[1,7,6,10,3,11,4,8,13,12,5,9,2]",4
146583077,"[3,7,5,13,6,12,2,8,11,10,1,9,4]",4
146658207,"[3,8,7,11,4,10,5,1,13,12,6,9,2]",4
146706019,"[4,1,6,13,7,12,2,8,10,11,3,9,5]",4
146925979,"[5,7,6,11,3,13,1,8,12,10,4,9,2]",4
147303988,"[4,7,1,13,6,11,2,8,12,10,5,9,3]",4
147890186,"[3,8,6,11,4,10,2,7,12,13,1,9,5]",4
147990461,"[1,8,7,10,3,13,2,6,12,11,5,9,4]",4
148390690,"[5,6,3,10,7,11,1,8,13,12,4,9,2]",4
148649863,"[5,6,4,11,7,12,3,8,13,10,1,9,2]",4
148668888,"[4,8,7,13,1,11,6,2,10,12,3,9,5]",4
148889875,"[4,6,1,11,7,12,3,8,10,13,2,9,5]",4
148955788,"[3,8,6,13,4,11,1,7,12,10,2,9,5]",4
149154313,"[5,8,7,13,3,11,6,4,10,12,1,9,2]",4
149356533,"[4,8,7,10,6,11,5,3,12,13,1,9,2]",4
149911325,"[5,6,1,13,7,12,2,8,10,11,4,9,3]",4
150291031,"[5,6,2,12,7,10,3,8,11,13,1,9,4]",4
150887574,"[1,3,6,10,7,13,5,8,12,11,2,9,4]",4
151748992,"[2,4,6,12,7,10,1,8,11,13,5,9,3]",4
151772288,"[1,7,6,13,4,12,3,8,10,11,2,9,5]",4
151835812,"[3,8,7,13,6,11,1,2,12,10,5,9,4]",4
151841786,"[5,8,7,10,3,13,6,1,11,12,2,9,4]",4
151939861,"[1,6,5,10,7,13,3,8,11,12,4,9,2]",4
152038673,"[3,7,4,10,6,11,5,8,12,13,2,9,1]",4
152249391,"[1,8,7,10,5,12,4,6,13,11,2,9,3]",4
152362366,"[3,8,7,11,1,13,6,5,10,12,4,9,2]",4
152509208,"[3,8,6,12,2,10,4,7,11,13,5,9,1]",4
152629316,"[2,8,7,10,3,13,6,1,12,11,5,9,4]",4
152893363,"[5,7,6,11,4,12,2,8,13,10,3,9,1]",4
153625917,"[2,8,7,11,6,13,1,4,10,12,3,9,5]",4
153709939,"[5,8,7,12,6,13,1,3,10,11,4,9,2]",4
153782067,"[3,8,7,11,5,10,4,6,12,13,2,9,1]",4
154173834,"[2,8,4,11,6,13,3,7,10,12,1,9,5]",4
154272736,"[1,8,7,10,2,11,4,3,13,12,6,9,5]",4
154383740,"[2,8,6,13,4,12,1,7,11,10,5,9,3]",4
154411178,"[2,1,6,11,7,10,3,8,13,12,5,9,4]",4
154678814,"[4,8,7,10,5,12,1,6,13,11,3,9,2]",4
154721133,"[4,3,6,11,7,12,2,8,13,10,5,9,1]",4
154988778,"[1,8,6,12,5,13,2,7,11,10,4,9,3]",4
155146266,"[5,8,6,11,1,10,4,7,12,13,2,9,3]",4
155762867,"[1,8,7,12,6,10,3,4,11,13,5,9,2]",4
156489601,"[5,8,2,10,6,12,4,7,11,13,1,9,3]",4
