PermutationIndex,Permutation,MatterQubits
7170691,"[9,11,4,13,10,1,7,2,5,3,12,6,8]",4
7360059,"[9,10,2,12,11,3,7,5,1,4,13,6,8]",4
7634261,"[9,10,5,12,11,3,2,1,4,6,13,7,8]",4
8576043,"[9,12,1,11,10,3,5,4,2,6,13,7,8]",4
8730850,"[9,13,1,10,12,5,7,3,2,6,11,4,8]",4
8834409,"[9,11,1,13,10,4,7,5,3,2,12,6,8]",4
9726978,"[9,10,5,12,13,1,6,2,3,4,11,7,8]",4
96027337,"[9,13,1,11,10,2,6,4,5,3,12,7,8]",4
96924185,"[9,13,5,12,11,3,7,4,1,2,10,6,8]",4
97367184,"[9,13,1,11,12,5,7,4,3,2,10,6,8]",4
98054218,"[9,13,3,10,11,1,7,4,5,2,12,6,8]",4
98867057,"[9,10,2,11,13,1,5,3,4,6,12,7,8]",4
100630241,"[9,13,5,12,10,4,7,3,1,6,11,2,8]",4
100971006,"[9,10,4,13,12,5,6,3,2,1,11,7,8]",4
101121529,"[9,10,1,12,11,3,2,5,4,6,13,7,8]",4
102190293,"[9,12,5,10,11,4,7,1,2,3,13,6,8]",4
103289896,"[9,11,1,13,12,4,6,5,3,2,10,7,8]",4
104399026,"[9,13,1,12,11,2,5,4,3,6,10,7,8]",4
135423208,"[9,11,5,10,12,4,7,3,2,1,13,6,8]",4
135655786,"[9,10,5,13,12,3,7,4,1,6,11,2,8]",4
135840620,"[9,13,5,12,11,2,7,3,1,6,10,4,8]",4
136219288,"[9,11,3,13,10,1,7,2,5,6,12,4,8]",4
136298701,"[9,13,4,10,12,5,7,3,2,1,11,6,8]",4
136456377,"[9,13,2,12,11,3,7,1,5,6,10,4,8]",4
136567010,"[9,12,5,13,11,4,2,3,1,6,10,7,8]",4
137499432,"[9,11,1,12,10,2,7,4,3,5,13,6,8]",4
137911366,"[9,13,3,11,10,1,2,4,5,6,12,7,8]",4
138313630,"[9,11,5,13,10,1,6,3,4,2,12,7,8]",4
138470980,"[9,10,1,12,13,2,7,3,4,6,11,5,8]",4
138642200,"[9,12,5,10,11,3,7,4,2,6,13,1,8]",4
139435469,"[9,10,4,11,13,1,6,3,2,5,12,7,8]",4
140997137,"[9,11,1,10,12,4,6,2,3,5,13,7,8]",4
141097751,"[9,11,4,12,13,2,6,3,1,5,10,7,8]",4
141564737,"[9,13,5,10,12,2,3,4,1,6,11,7,8]",4
142313285,"[9,11,3,12,13,2,7,1,5,6,10,4,8]",4
143341297,"[9,10,3,11,13,5,4,1,2,6,12,7,8]",4
143427552,"[9,13,5,11,12,4,2,1,3,6,10,7,8]",4
143504924,"[9,13,2,12,11,1,4,3,5,6,10,7,8]",4
143810331,"[9,10,2,11,12,5,1,4,3,6,13,7,8]",4
144021403,"[9,11,2,13,10,1,6,4,5,3,12,7,8]",4
144218076,"[9,11,3,13,12,5,6,1,4,2,10,7,8]",4
144910409,"[9,12,1,13,10,2,3,4,5,6,11,7,8]",4
11228548,"[9,12,3,11,13,4,1,5,2,6,10,7,8]",4
11645684,"[9,11,5,10,13,3,4,2,1,6,12,7,8]",4
11972117,"[9,12,1,11,10,4,7,3,2,6,13,5,8]",4
12236168,"[9,13,2,10,12,1,7,4,3,5,11,6,8]",4
12883021,"[9,13,2,12,11,1,6,4,3,5,10,7,8]",4
13256800,"[9,10,5,11,13,4,1,2,3,6,12,7,8]",4
13263627,"[9,13,4,11,10,3,5,1,2,6,12,7,8]",4
185236615,"[9,12,2,13,10,5,6,3,1,4,11,7,8]",4
185605522,"[9,10,3,13,11,1,7,4,2,6,12,5,8]",4
185663452,"[9,12,2,13,11,3,7,1,4,6,10,5,8]",4
186269906,"[9,12,2,13,10,3,7,1,4,5,11,6,8]",4
186827747,"[9,10,4,12,11,2,3,5,1,6,13,7,8]",4
187678005,"[9,12,5,10,13,2,7,1,3,6,11,4,8]",4
187713446,"[9,10,4,13,12,3,2,1,5,6,11,7,8]",4
187727515,"[9,11,1,13,12,4,7,2,3,6,10,5,8]",4
187886374,"[9,10,1,11,12,4,2,5,3,6,13,7,8]",4
187894580,"[9,10,4,12,13,5,7,3,1,6,11,2,8]",4
188107404,"[9,12,5,10,11,2,3,1,4,6,13,7,8]",4
188722058,"[9,10,2,11,12,1,5,3,4,6,13,7,8]",4
188737354,"[9,13,2,12,10,3,6,1,4,5,11,7,8]",4
189045344,"[9,10,2,13,12,4,6,1,3,5,11,7,8]",4
189856942,"[9,13,4,11,12,2,3,5,1,6,10,7,8]",4
189878642,"[9,11,2,12,10,4,7,3,1,6,13,5,8]",4
189948602,"[9,13,1,10,11,2,4,3,5,6,12,7,8]",4
190461887,"[9,11,3,10,12,1,6,5,2,4,13,7,8]",4
190597619,"[9,11,5,12,10,3,7,4,2,1,13,6,8]",4
193485247,"[9,11,2,10,12,4,7,5,1,3,13,6,8]",4
15088397,"[9,10,3,12,11,2,7,4,5,1,13,6,8]",4
15780181,"[9,11,3,12,13,5,7,1,2,6,10,4,8]",4
15782215,"[9,11,2,13,12,3,6,5,1,4,10,7,8]",4
16743708,"[9,13,4,11,12,2,7,1,5,3,10,6,8]",4
17007631,"[9,12,1,11,13,2,6,3,5,4,10,7,8]",4
17227218,"[9,10,4,11,13,5,7,2,1,6,12,3,8]",4
17287916,"[9,13,5,10,12,4,7,1,2,6,11,3,8]",4
17780878,"[9,13,3,11,10,2,6,4,5,1,12,7,8]",4
18458392,"[9,13,2,10,12,3,6,4,5,1,11,7,8]",4
18568266,"[9,12,2,13,10,4,5,1,3,6,11,7,8]",4
19142578,"[9,10,5,13,12,1,2,3,4,6,11,7,8]",4
195600358,"[9,10,5,13,12,2,1,3,4,6,11,7,8]",4
196621977,"[9,13,3,12,10,2,7,5,1,4,11,6,8]",4
198244815,"[9,12,5,13,11,2,7,1,4,3,10,6,8]",4
198558281,"[9,12,1,13,11,4,2,5,3,6,10,7,8]",4
198715677,"[9,11,4,10,13,5,6,3,2,1,12,7,8]",4
198824365,"[9,13,5,11,12,1,3,2,4,6,10,7,8]",4
199039627,"[9,11,2,12,13,5,6,3,4,1,10,7,8]",4
199487667,"[9,12,5,10,13,1,2,3,4,6,11,7,8]",4
200677607,"[9,10,5,11,13,3,6,2,4,1,12,7,8]",4
200836274,"[9,13,2,10,11,1,7,5,3,4,12,6,8]",4
202341731,"[9,13,1,10,11,2,7,5,4,6,12,3,8]",4
203753522,"[9,12,4,13,11,5,7,3,2,1,10,6,8]",4
204368967,"[9,12,5,13,10,4,1,3,2,6,11,7,8]",4
204867453,"[9,12,4,13,10,2,7,5,1,6,11,3,8]",4
225096147,"[9,13,2,12,11,3,5,1,4,6,10,7,8]",4
225402911,"[9,10,3,11,12,5,7,1,4,2,13,6,8]",4
225714355,"[9,12,1,11,13,2,3,4,5,6,10,7,8]",4
225937216,"[9,12,2,13,11,4,7,3,5,1,10,6,8]",4
227201907,"[9,13,4,10,12,5,2,3,1,6,11,7,8]",4
227790949,"[9,12,2,11,13,3,7,4,1,5,10,6,8]",4
228552568,"[9,11,4,13,12,2,6,5,1,3,10,7,8]",4
228787677,"[9,11,4,12,10,2,7,1,3,5,13,6,8]",4
229175697,"[9,10,4,11,12,2,7,3,5,6,13,1,8]",4
229604815,"[9,12,3,10,11,4,2,1,5,6,13,7,8]",4
229733029,"[9,12,3,11,10,4,7,2,5,1,13,6,8]",4
230345751,"[9,10,2,12,13,1,7,4,5,3,11,6,8]",4
230494927,"[9,12,4,10,13,1,3,5,2,6,11,7,8]",4
230975073,"[9,11,1,12,13,5,6,3,4,2,10,7,8]",4
231011419,"[9,13,2,10,11,4,6,1,3,5,12,7,8]",4
231022027,"[9,10,2,12,11,1,3,5,4,6,13,7,8]",4
231092127,"[9,13,5,12,11,3,7,1,2,6,10,4,8]",4
231270112,"[9,11,1,10,13,5,2,4,3,6,12,7,8]",4
232580028,"[9,13,3,10,12,4,2,5,1,6,11,7,8]",4
232840807,"[9,10,2,12,11,5,7,4,3,1,13,6,8]",4
232970507,"[9,13,1,10,11,2,3,5,4,6,12,7,8]",4
233322947,"[9,10,2,12,13,1,7,3,4,6,11,5,8]",4
234807451,"[9,12,2,13,11,3,4,1,5,6,10,7,8]",4
234992381,"[9,11,4,10,12,1,5,2,3,6,13,7,8]",4
235282660,"[9,13,3,10,12,2,1,5,4,6,11,7,8]",4
238184883,"[9,13,2,10,11,4,5,3,1,6,12,7,8]",4
238724189,"[9,11,2,10,12,1,4,5,3,6,13,7,8]",4
239359412,"[9,10,2,11,13,5,7,4,3,6,12,1,8]",4
240060902,"[9,11,2,12,10,4,7,3,1,5,13,6,8]",4
241090468,"[9,10,4,13,11,2,7,3,5,1,12,6,8]",4
242019710,"[9,12,5,11,10,1,6,2,3,4,13,7,8]",4
242159534,"[9,10,2,12,13,1,6,3,5,4,11,7,8]",4
242858702,"[9,13,2,11,12,1,7,4,3,5,10,6,8]",4
243508514,"[9,12,5,11,13,1,7,4,3,2,10,6,8]",4
244385356,"[9,10,3,11,13,2,1,4,5,6,12,7,8]",4
21334488,"[9,13,1,10,12,4,7,5,3,6,11,2,8]",4
