PermutationIndex,Permutation,MatterQubits
527448772,"[6,7,4,8,2,9,3,13,11,12,5,1,10]",4
527829573,"[3,7,5,8,1,9,2,10,11,13,6,4,12]",4
527938764,"[1,7,6,8,3,9,5,12,10,11,4,2,13]",4
528134811,"[1,7,6,8,5,9,2,11,10,12,4,3,13]",4
528311035,"[6,7,4,8,1,9,5,12,10,11,2,3,13]",4
528680638,"[5,7,6,8,1,9,3,11,12,13,2,4,10]",4
529034156,"[7,6,3,8,4,9,2,13,11,10,5,1,12]",4
529121408,"[2,7,5,8,3,9,4,13,12,10,6,1,11]",4
529353599,"[3,7,4,8,6,9,5,10,12,11,2,1,13]",4
530390100,"[3,7,6,8,2,9,4,11,12,10,1,5,13]",4
531160267,"[3,7,4,8,6,9,5,13,10,12,1,2,11]",4
531565768,"[6,7,2,8,5,9,1,10,13,12,3,4,11]",4
532313214,"[6,7,2,8,4,9,3,13,11,10,5,1,12]",4
532486812,"[7,4,3,8,1,9,2,12,11,13,6,5,10]",4
532982150,"[4,7,6,8,2,9,1,13,11,10,5,3,12]",4
533049428,"[6,7,2,8,1,9,5,11,12,13,4,3,10]",4
533514046,"[7,6,2,8,3,9,5,12,13,11,4,1,10]",4
533528147,"[1,7,3,8,6,9,4,12,11,10,2,5,13]",4
533757675,"[6,7,2,8,1,9,5,13,12,10,4,3,11]",4
534209664,"[7,3,1,8,4,9,2,11,13,12,6,5,10]",4
534288624,"[1,7,6,8,3,9,5,10,13,11,4,2,12]",4
534325565,"[7,6,2,8,3,9,5,10,12,13,1,4,11]",4
534453337,"[7,1,5,8,4,9,2,11,13,10,6,3,12]",4
534580843,"[1,7,6,8,4,9,3,11,12,13,5,2,10]",4
534951197,"[5,7,3,8,6,9,1,10,12,13,4,2,11]",4
535253866,"[6,7,2,8,5,9,1,10,12,11,3,4,13]",4
535822517,"[4,7,6,8,5,9,1,13,10,12,2,3,11]",4
536246388,"[7,6,3,8,2,9,1,12,10,11,4,5,13]",4
536496753,"[6,7,1,8,4,9,5,13,10,12,2,3,11]",4
536521078,"[7,6,3,8,5,9,4,10,11,12,1,2,13]",4
536750127,"[3,7,5,8,6,9,1,13,12,10,2,4,11]",4
537152078,"[6,7,4,8,5,9,3,11,12,13,1,2,10]",4
537282291,"[1,7,5,8,6,9,4,10,12,11,3,2,13]",4
538110164,"[3,7,6,8,1,9,4,13,10,11,2,5,12]",4
538811189,"[7,6,5,8,4,9,1,13,11,10,3,2,12]",4
539287560,"[7,3,5,8,4,9,2,10,11,13,6,1,12]",4
539806702,"[5,7,6,8,3,9,4,10,13,12,1,2,11]",4
540664929,"[6,7,5,8,3,9,1,10,12,13,2,4,11]",4
540752744,"[6,7,5,8,2,9,3,13,11,10,4,1,12]",4
541083235,"[7,6,1,8,2,9,3,11,13,12,4,5,10]",4
541110602,"[7,4,2,8,5,9,3,13,12,10,6,1,11]",4
541960775,"[7,2,1,8,4,9,5,12,10,11,6,3,13]",4
542036119,"[3,7,4,8,6,9,5,13,10,11,2,1,12]",4
542476993,"[5,7,6,8,1,9,2,13,12,10,4,3,11]",4
543262924,"[6,7,4,8,3,9,2,11,10,12,1,5,13]",4
544204908,"[7,3,1,8,5,9,4,10,13,12,6,2,11]",4
544374078,"[6,7,3,8,4,9,1,13,11,10,2,5,12]",4
544553304,"[7,6,2,8,1,9,5,12,11,10,3,4,13]",4
50637343,"[4,7,6,8,5,9,1,12,13,10,2,3,11]",4
50969338,"[5,7,6,8,1,9,3,10,11,13,2,4,12]",4
51340927,"[6,7,4,8,5,9,2,12,10,13,3,1,11]",4
52043807,"[6,7,2,8,1,9,4,10,13,12,3,5,11]",4
52716846,"[7,6,3,8,4,9,1,10,13,12,2,5,11]",4
52785456,"[7,6,4,8,3,9,2,11,13,12,1,5,10]",4
53570832,"[7,2,3,8,1,9,4,13,12,11,6,5,10]",4
54452436,"[7,1,5,8,3,9,2,10,13,12,6,4,11]",4
545803121,"[1,7,6,8,5,9,2,10,11,13,3,4,12]",4
546417685,"[7,1,3,8,5,9,2,10,11,13,6,4,12]",4
546551818,"[7,1,3,8,5,9,2,13,12,11,6,4,10]",4
546712517,"[6,7,5,8,1,9,3,11,10,13,4,2,12]",4
546860002,"[6,7,2,8,3,9,5,11,13,10,1,4,12]",4
547229570,"[4,7,5,8,3,9,2,12,13,11,6,1,10]",4
547740014,"[5,7,2,8,6,9,3,11,13,10,4,1,12]",4
548904689,"[5,7,3,8,2,9,4,13,11,12,6,1,10]",4
549496289,"[2,7,6,8,1,9,3,13,11,12,5,4,10]",4
549545868,"[7,6,3,8,5,9,2,10,11,13,4,1,12]",4
550324966,"[5,7,4,8,2,9,1,11,13,12,6,3,10]",4
