PermutationIndex,Permutation,MatterQubits
1021350889,"[10,24,19,20,22,21,11,16,3,13,18,6,5,4,23,1,17,9,15,12,8,14,2,7]",9
1026212049,"[13,5,15,9,2,6,17,20,18,21,19,7,16,4,12,14,10,3,11,23,1,24,8,22]",9
1043720903,"[21,17,24,10,18,11,13,16,4,3,8,19,7,22,6,20,12,9,14,5,1,2,23,15]",9
1047617554,"[1,17,12,16,10,11,7,5,3,2,18,24,23,21,20,9,22,14,13,15,4,6,8,19]",9
1048319557,"[1,9,4,19,14,22,18,23,12,16,24,13,15,2,5,3,17,6,20,11,21,7,10,8]",9
1049790789,"[20,6,1,8,15,16,22,21,17,5,23,13,7,14,2,4,10,24,3,19,11,18,12,9]",9
1071391467,"[4,23,1,2,14,9,5,6,16,19,22,18,24,8,17,12,10,15,3,7,11,20,13,21]",9
1077860515,"[22,5,2,10,16,4,15,9,14,12,3,13,7,6,1,20,23,17,19,24,8,18,11,21]",9
1078740110,"[4,14,16,1,7,2,20,5,24,9,19,12,8,13,6,10,3,23,15,18,17,22,11,21]",9
1079586814,"[23,7,2,13,5,11,4,20,15,19,22,17,6,24,12,14,18,3,8,9,16,10,21,1]",9
1083839403,"[22,10,15,1,4,9,2,3,8,18,19,16,21,24,13,23,14,5,20,6,7,12,17,11]",9
1085186052,"[24,10,23,1,4,14,7,11,5,18,19,20,16,17,2,21,13,3,15,8,6,9,22,12]",9
1087499213,"[2,20,11,15,10,14,3,9,12,4,6,5,22,21,17,24,16,8,18,13,19,23,7,1]",9
107227806,"[21,13,23,4,18,12,9,15,5,6,7,16,22,17,20,19,8,24,1,2,14,10,11,3]",9
1095228244,"[20,10,18,12,5,2,15,1,24,3,17,7,4,13,11,8,6,21,14,16,19,23,9,22]",9
1098453035,"[21,16,10,23,12,6,14,3,11,2,22,13,18,5,19,1,7,24,9,4,8,17,15,20]",9
1106702935,"[19,24,12,17,15,13,22,2,5,11,18,6,20,10,16,8,1,3,7,4,9,21,14,23]",9
1108241341,"[10,16,4,11,9,24,12,21,3,17,6,8,14,2,5,7,19,15,22,20,23,1,18,13]",9
1108926582,"[5,10,23,11,22,12,17,13,2,16,3,8,1,15,21,18,19,24,6,20,9,7,14,4]",9
1146730419,"[15,7,5,12,11,20,16,19,8,9,6,21,17,24,10,14,2,1,18,4,22,3,23,13]",9
1151460603,"[17,18,23,16,20,6,21,3,11,15,8,4,7,22,12,24,5,19,13,1,14,10,2,9]",9
1157160673,"[2,22,1,15,3,8,6,11,9,12,21,18,16,19,20,13,24,14,5,17,4,10,7,23]",9
1161562511,"[4,7,18,17,24,2,14,3,11,23,9,19,1,20,13,15,6,5,10,12,16,21,22,8]",9
1190749104,"[20,8,15,4,5,14,2,6,10,18,19,21,23,17,11,16,12,13,24,3,1,7,22,9]",9
1203570897,"[10,13,6,2,3,16,14,20,18,24,11,17,22,12,15,9,1,8,19,4,21,5,23,7]",9
1204899365,"[1,12,11,17,23,16,8,5,10,22,20,19,3,14,7,9,15,6,24,4,18,13,21,2]",9
1210357624,"[14,8,17,2,5,12,16,3,19,4,15,7,9,11,10,1,6,21,18,23,20,22,13,24]",9
1213550210,"[8,16,20,7,19,11,6,1,15,12,22,10,17,2,5,13,9,3,4,23,14,21,18,24]",9
